Entity,Code,Year,Cumulative_CO2_emissions
Chile,CHL,1900,3920480
Chile,CHL,1901,5488672
Chile,CHL,1902,7448912
Chile,CHL,1903,9610672
Chile,CHL,1904,11578240
Chile,CHL,1905,13655728
Chile,CHL,1906,16095952
Chile,CHL,1907,18276032
Chile,CHL,1908,20734576
Chile,CHL,1909,23086864
Chile,CHL,1910,25897152
Chile,CHL,1911,29004224
Chile,CHL,1912,32466704
Chile,CHL,1913,35822928
Chile,CHL,1914,38666192
Chile,CHL,1915,41732960
Chile,CHL,1916,45440928
Chile,CHL,1917,49467664
Chile,CHL,1918,53435776
Chile,CHL,1919,57319616
Chile,CHL,1920,60100592
Chile,CHL,1921,63434832
Chile,CHL,1922,66190160
Chile,CHL,1923,69234944
Chile,CHL,1924,73261680
Chile,CHL,1925,77061248
Chile,CHL,1926,80963408
Chile,CHL,1927,84839920
Chile,CHL,1928,88496146
Chile,CHL,1929,92511296
Chile,CHL,1930,96361507
Chile,CHL,1931,99288627
Chile,CHL,1932,102182741
Chile,CHL,1933,106274864
Chile,CHL,1934,111103185
Chile,CHL,1935,116213307
Chile,CHL,1936,121239305
Chile,CHL,1937,126517851
Chile,CHL,1938,132045341
Chile,CHL,1939,137052662
Chile,CHL,1940,142312621
Chile,CHL,1941,147880445
Chile,CHL,1942,153686400
Chile,CHL,1943,159796436
Chile,CHL,1944,165935844
Chile,CHL,1945,171576740
Chile,CHL,1946,177008104
Chile,CHL,1947,182714179
Chile,CHL,1948,188922488
Chile,CHL,1949,194797553
Chile,CHL,1950,203248321
Chile,CHL,1951,213229898
Chile,CHL,1952,223833880
Chile,CHL,1953,234236550
Chile,CHL,1954,245317030
Chile,CHL,1955,256914015
Chile,CHL,1956,268745614
Chile,CHL,1957,280471136
Chile,CHL,1958,292922130
Chile,CHL,1959,305625494
Chile,CHL,1960,319101962
Chile,CHL,1961,333560204
Chile,CHL,1962,350267577
Chile,CHL,1963,367604564
Chile,CHL,1964,385109709
Chile,CHL,1965,402857005
Chile,CHL,1966,421629479
Chile,CHL,1967,440867816
Chile,CHL,1968,462070055
Chile,CHL,1969,484601524
Chile,CHL,1970,509237326
Chile,CHL,1971,536292555
Chile,CHL,1972,564430453
Chile,CHL,1973,592017307
Chile,CHL,1974,617893038
Chile,CHL,1975,640837701
Chile,CHL,1976,664864293
Chile,CHL,1977,687878086
Chile,CHL,1978,710716368
Chile,CHL,1979,735441201
Chile,CHL,1980,760534878
Chile,CHL,1981,784873893
Chile,CHL,1982,805343764
Chile,CHL,1983,826011358
Chile,CHL,1984,848008277
Chile,CHL,1985,869292032
Chile,CHL,1986,891305393
Chile,CHL,1987,913704808
Chile,CHL,1988,940291361
Chile,CHL,1989,972294078
Chile,CHL,1990,1005185393
Chile,CHL,1991,1036135302
Chile,CHL,1992,1068113646
Chile,CHL,1993,1102066994
Chile,CHL,1994,1139583670
Chile,CHL,1995,1180655852
Chile,CHL,1996,1228266992
Chile,CHL,1997,1283700236
Chile,CHL,1998,1340487196
Chile,CHL,1999,1401377372
Chile,CHL,2000,1459472892
Chile,CHL,2001,1512031151
Chile,CHL,2002,1566502059
Chile,CHL,2003,1621366239
Chile,CHL,2004,1680392315
Chile,CHL,2005,1741318811
Chile,CHL,2006,1805268135
Chile,CHL,2007,1875951383
Chile,CHL,2008,1946746543
Chile,CHL,2009,2012647046
Chile,CHL,2010,2083958001
Chile,CHL,2011,2162022405
Chile,CHL,2012,2241705986
Chile,CHL,2013,2323516854
Chile,CHL,2014,2401090633
Chile,CHL,2015,2482915104
Chile,CHL,2016,2567307132
Chile,CHL,2017,2651353160
Chile,CHL,2018,2735762427
Chile,CHL,2019,2821891690
Chile,CHL,2020,2903063180
China,CHN,1902,190528
China,CHN,1903,2154432
China,CHN,1904,4242912
China,CHN,1905,6540240
China,CHN,1906,23651120
China,CHN,1907,40490864
China,CHN,1908,63222320
China,CHN,1909,84059488
China,CHN,1910,102808176
China,CHN,1911,130654576
China,CHN,1912,140441120
China,CHN,1913,151198624
China,CHN,1914,166305296
China,CHN,1915,182393920
China,CHN,1916,200358512
China,CHN,1917,220210064
China,CHN,1918,241252416
China,CHN,1919,265508096
China,CHN,1920,292277280
China,CHN,1921,317566208
China,CHN,1922,344199824
China,CHN,1923,376351424
China,CHN,1924,411445216
China,CHN,1925,444666704
China,CHN,1926,474257168
China,CHN,1927,507782768
China,CHN,1928,541890427
China,CHN,1929,577694602
China,CHN,1930,615602517
China,CHN,1931,655843235
China,CHN,1932,694427783
China,CHN,1933,736622062
China,CHN,1934,785876220
China,CHN,1935,843472829
China,CHN,1936,908427996
China,CHN,1937,968918595
China,CHN,1938,1024221200
China,CHN,1939,1091334597
China,CHN,1940,1177381219
China,CHN,1941,1284898788
China,CHN,1942,1398639420
China,CHN,1943,1495818126
China,CHN,1944,1593586994
China,CHN,1945,1643934061
China,CHN,1946,1675193066
China,CHN,1947,1708746555
China,CHN,1948,1732582897
China,CHN,1949,1791943281
China,CHN,1950,1870778568
China,CHN,1951,1972893781
China,CHN,1952,2100893107
China,CHN,1953,2234675990
China,CHN,1954,2395553400
China,CHN,1955,2586074861
China,CHN,1956,2801898845
China,CHN,1957,3057683807
China,CHN,1958,3582300866
China,CHN,1959,4302452423
China,CHN,1960,5101252344
China,CHN,1961,5671882531
China,CHN,1962,6131500605
China,CHN,1963,6588280054
China,CHN,1964,7048917148
China,CHN,1965,7549203512
China,CHN,1966,8098662830
China,CHN,1967,8558888725
China,CHN,1968,9054395291
China,CHN,1969,9662078657
China,CHN,1970,10470031284
China,CHN,1971,11379240984
China,CHN,1972,12347886580
China,CHN,1973,13356179156
China,CHN,1974,14384279023
China,CHN,1975,15567493979
China,CHN,1976,16793915256
China,CHN,1977,18134746371
China,CHN,1978,19627524216
China,CHN,1979,21153185364
China,CHN,1980,22647681248
China,CHN,1981,24124169102
China,CHN,1982,25730754115
China,CHN,1983,27424970926
China,CHN,1984,29269798938
China,CHN,1985,31267881842
China,CHN,1986,33372095196
China,CHN,1987,35629833735
China,CHN,1988,38055727288
China,CHN,1989,40519381655
China,CHN,1990,43004236475
China,CHN,1991,45610332657
China,CHN,1992,48341120244
China,CHN,1993,51262771200
China,CHN,1994,54362773245
China,CHN,1995,57720682133
China,CHN,1996,61223915836
China,CHN,1997,64734085122
China,CHN,1998,68094540555
China,CHN,1999,71444880684
China,CHN,2000,74884032894
